
input\EAME_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
Mim-2014Continuous	7500.000	15	11.00000	0	0.00000	27.757	64.29	15.394	121.10	14.94
Mim-2014Rotational	41500.00	83	11.00000	1	2.3248	2.3313	100.28	0.58037	9.3121	111.39
Mim-2015Continuous	6500.000	13	46.00000	3	51.683	29.963	57.97	20.290	131.65	17.46
Mim-2015Rotational	23000.00	46	46.00000	20	97.373	28.757	29.53	60.310	157.21	11.87
Mim-2016Continuous	8000.000	16	11.00000	1	12.060	12.093	100.28	2.7968	52.001	24.19
Mim-2016Rotational	31500.00	63	11.00000	6	18.377	10.528	57.29	7.5531	44.711	7.50
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\SPSP_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	105.0000	6	63.062	29.395	46.61	30.100	132.12	66.69
EHpO-2016Rotational	25000.00	50	105.0000	10	79.879	40.479	50.67	36.046	177.01	79.00
Mim-2014Continuous	7500.000	15	105.0000	0	0.00000	27.757	64.29	15.394	121.10	14.94
Mim-2014Rotational	41500.00	83	105.0000	0	0.00000	2.3313	100.28	0.58037	9.3121	111.39
Mim-2015Continuous	6500.000	13	105.0000	0	0.00000	29.963	57.97	20.290	131.65	17.46
Mim-2015Rotational	23000.00	46	105.0000	2	17.365	13.018	74.97	5.6867	53.026	57.87
Mim-2016Continuous	8000.000	16	105.0000	0	0.00000	12.093	100.28	2.7968	52.001	24.19
Mim-2016Rotational	31500.00	63	105.0000	3	19.019	11.964	62.90	7.2814	49.677	13.03
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\GRSP_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	23.00000	18	166.49	37.073	22.27	115.45	240.10	79.21
EHpO-2016Rotational	25000.00	50	23.00000	6	42.178	26.541	62.93	16.044	110.88	54.10
Mim-2014Continuous	7500.000	15	23.00000	0	0.00000	27.757	64.29	15.394	121.10	14.94
Mim-2014Rotational	41500.00	83	23.00000	0	0.00000	2.3313	100.28	0.58037	9.3121	111.39
Mim-2015Continuous	6500.000	13	23.00000	1	27.037	27.300	100.97	6.0964	119.91	17.46
Mim-2015Rotational	23000.00	46	23.00000	9	68.769	22.902	33.30	40.024	118.16	64.02
Mim-2016Continuous	8000.000	16	23.00000	0	0.00000	12.093	100.28	2.7968	52.001	24.19
Mim-2016Rotational	31500.00	63	23.00000	3	16.737	12.614	75.36	5.4681	51.232	8.20
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63
